"location","depth.cm","%N","d15N.permil","%C.total","d13C.total","%C.organic","d13C.organic","P.pct.inorg","P.pct.total","P.pct.org","SiO2.mg","SiO2.prct","water.percent","bulk.density.gcm3","median.grainsize.um","clay.pct","gravel.pct","sand.pct","year.min","year.max","year.median","year.mean","end.pb","cs.peak","n.years","n.cm","accretion.rate.cmyr","century","N.P.ratio","C.N.ratio","Si.P.ratio","P.total.pct.e2","N.storage","median.grainsize.phi","accretion.rate.gcm2yr"
"Middle",0,0.460880328228059,11.125,12.5949374813796,-4.87,12.6319806165674,-4.615,NA,0.026545777,NA,58.5555701333333,1.90825632958953,66.87,NA,86.1,43.8722222222222,0,56.1311111111111,2021.1,2021.2,2021.2,2021.2,NA,NA,NA,NA,NA,"2000",17.361719275652,27.3279997213228,71.8854953686052,2.6545777,NA,6.42794133250948,NA
"Middle",1,0.579981763959356,8.41,6.03901051768631,-20.265,5.99785124651562,-20.25,0.009865197,0.023487397,0.0136222,364.515173066667,12.3250745665189,65.14,0.29,64.2,51.8666666666667,0,48.1366666666667,2015.5,2019.2,2017.8,2017.7,NA,NA,3.5,1,0.285714285714286,"2000",24.693318036024,10.412414480862,524.752681896549,2.3487397,0.0403667307715712,6.00450139223494,0.0828571428571429
"Middle",2,0.509020723983789,8.33,5.5410438718279,-20.035,5.54784650884409,-20.035,0.010174725,0.024415998,0.014241273,355.823599733333,11.4549031842357,65.01,0.31,67.3,50.4166666666667,0.07,49.5155555555556,2011.4,2015.5,2013.7,2013.6,NA,NA,4.10000000000014,1,0.243902439024382,"2000",20.8478360779596,10.8856940606692,469.155640667882,2.4415998,0.0378711418643939,6.07253459972295,0.0756097560975585
"Middle",3,0.486012350863185,8.345,5.17809589999022,-19.84,5.13328439959257,-19.88,0.009563958,0.022615719,0.013051761,320.1374816,10.156165965545,63.9,0.29,63.9,53.4111111111111,0,46.5811111111111,2003.6,2010.9,2007.8,2007.7,NA,NA,5.89999999999986,1,0.169491525423733,"2000",21.4900242996115,10.6542475531612,449.075528642046,2.2615719,0.0338264596200776,5.99774402605963,0.0491525423728825
"Middle",4,0.470897093533474,8.3,5.11481729005464,-19.755,5.14041083749128,-19.855,0.01079452,0.023680688,0.012886168,314.405649333333,10.5747456165878,64.14,0.29,56.6,54.79,0,45.2088888888889,1996,2006.5,2001.8,2001.7,NA,NA,6,1,0.166666666666667,"2000",19.8852792424559,10.8618578459989,446.555675096426,2.3680688,0.0327744377099298,5.82273014794452,0.0483333333333333
"Middle",6,0.457844015088838,8.38,5.20141796239979,-20.175,5.12601572123456,-20.045,0.011377157,0.026538591,0.015161434,265.706603733333,8.95684964063884,63.35,0.3,63.9,51.7,0,48.2877777777778,1988.3,2001.4,1996.1,1995.8,NA,NA,2.90000000000009,1,0.344827586206886,"2000",17.2520091623869,11.3606769794523,337.502832785615,2.6538591,0.0329647690863963,5.99774402605963,0.103448275862066
"Middle",8,0.451417631638382,8.215,5.11123130772477,-20.165,5.04533841680875,-20.08,0.011458808,0.025085936,0.013627127,263.7836432,8.45304582377877,61.9,0.34,58.9,53.8877777777778,0,46.1022222222222,1978.7,1995.1,1988.5,1988.1,NA,NA,4.10000000000014,1,0.243902439024382,"2000",17.9948490516113,11.3226222227386,336.963540996787,2.5085936,0.036835678741692,5.8801957289431,0.0829268292682899
"Middle",10,0.429873879293113,8.32,5.01288789386648,-20.3,4.90343311908149,-20.155,0.011844836,0.025902769,0.014057933,282.415252266667,9.44960273392992,60.75,0.35,57.8,55.5625,0,44.4391666666667,1966.4,1986.9,1978.5,1978,NA,NA,5.20000000000005,1,0.192307692307691,"2000",16.5956728137101,11.6612991282692,364.810524076786,2.5902769,0.0361094058606215,5.85299758761332,0.0673076923076917
"Middle",12,0.424398649640261,8.335,4.84099204534169,-19.965,4.83555976606401,-20.015,0.015518,0.030337681,0.014819681,288.907697333333,9.10274336110001,59.64,0.34,65.4,51.7077777777778,0.0766666666666667,48.2133333333333,1952,1976.7,1965.8,1965.3,NA,NA,6.5,1,0.153846153846154,"2000",13.9891592122767,11.4067093508547,300.047434775915,3.0337681,0.0346309298106453,6.03121873061072,0.0523076923076923
"Middle",14,0.392679709270437,8.145,4.73340242325075,-20.305,4.73538823477232,-20.265,0.013832703,0.030077067,0.016244364,264.124697333333,8.78356331590221,58.14,0.37,63.3,52.4344444444444,0,47.56,1935.2,1965.7,1952.4,1951.8,NA,TRUE,6.60000000000014,1,0.151515151515148,"2000",13.0557846371934,12.0541049397357,292.035234549373,3.0077067,0.0348699581832148,5.98413359454098,0.0560606060606049
"Middle",16,0.348390223893063,8.28,4.38782330859585,-20.74,4.34127916191939,-20.72,0.013465512,0.025146107,0.011680595,238.670002933333,8.06958706683049,57.58,0.4,56.3,55.9155555555556,0,44.0744444444444,1918.7,1955.7,1939.5,1939.2,NA,NA,6.39999999999986,1,0.156250000000003,"1900",13.8546385686286,12.594564966733,320.908006429405,2.5146107,0.033445461493734,5.81506301719287,0.0625000000000013
"Middle",18,0.330663196670447,8.13,4.36532450786148,-20.86,4.23524009351928,-20.815,0.016749629,0.031011083,0.014261455,234.627820533333,6.96592694886547,56.31,0.43,37.3,66.2955555555556,0,33.7066666666667,1903.2,1947.3,1928.1,1927.6,NA,NA,5.80000000000018,1,0.172413793103443,"1900",10.6627426288352,13.2017247514006,224.627013150926,3.1011083,0.0341244418963902,5.22110372536788,0.0741379310344804
"Middle",20,0.292679539324358,8.055,4.31760520715328,-21.545,4.27242426964264,-21.49,0.013239503,0.02414218,0.010902677,205.5835464,6.80971122649858,52.59,0.49,36,64.83,0,35.17,1886.3,1936,1913.8,1913.5,NA,NA,7.09999999999991,1,0.140845070422537,"1900",12.1231611778372,14.7519885302551,282.06695611161,2.414218,0.0344191138245445,5.16992500144231,0.0690140845070431
"Middle",22,0.224906360892177,8.035,6.50234829364866,-20.87,6.43148286775488,-21.135,0.020377536,0.038541666,0.01816413,148.550002933333,4.89114187751751,46.17,0.53,57.2,54.4666666666667,0.02,45.5077777777778,1870.8,1925.6,1900.8,1900.3,NA,NA,6.60000000000014,1,0.151515151515148,"1900",5.83540838354463,28.9113578995926,126.905304963141,3.8541666,0.0286080891054849,5.83794324189103,0.0803030303030286
"Middle",24,0.219998117693497,7.78,3.70331583483997,-20.535,3.57588955893834,-20.795,0.010553906,0.019053984,0.008500078,177.038737333333,5.91433084165236,46.49,0.64,48,58.6333333333333,0.16,41.2108333333333,1854,1913.1,1887.7,1886.7,NA,NA,6.70000000000005,1,0.149253731343283,"1900",11.5460429531953,16.8333978202461,310.398646375076,1.9053984,0.0337917108777211,5.58496250072116,0.0955223880597008
"Middle",26,0.198842059591402,7.39,2.96639835099204,-19.235,2.80204489155051,-19.46,0.009541435,0.019729113,0.010187678,174.899689066667,5.76197539690007,44.81,0.63,39.1,62.2355555555556,0,37.7688888888889,1840,1902.6,1874.4,1873.9,NA,NA,6.29999999999995,1,0.15873015873016,"1900",10.0786112174127,14.9183646412014,292.054457638317,1.9729113,0.03006491941022,5.28909670241999,0.100000000000001
"Middle",28,0.197778727869806,6.585,2.75860302879944,-18.165,2.7028872801657,-18.53,0.007469948,0.016004253,0.008534306,191.0628112,6.25151335405282,47.24,0.62,32.2,64.5555555555556,0,35.44,1827.2,1891.7,1861.3,1861,NA,NA,6.40000000000009,1,0.156249999999998,"1900",12.3578856113938,13.9479258386948,390.61575407817,1.6004253,0.0294294747070271,5.00898878322726,0.0968749999999986
"Middle",30,0.202589513180769,6.6,3.04498833929105,-16.42,3.0079152723182,-16.91,0.007930803,0.015332904,0.007402101,216.968005466667,7.22156425322902,46.92,0.71,31.9,65.5475,0,34.4566666666667,1813.3,1879.2,1848.4,1847.7,NA,NA,6.59999999999991,1,0.151515151515154,"1800",13.2127295116938,15.0303354378173,470.984769305868,1.5332904,0.034521253046003,4.99548451887751,0.107575757575759
"Middle",32,0.182812772858983,5.935,2.53053493066013,-19.475,1.59669621120355,-19.83,0.007964292,0.02826733,0.020303038,193.71546336,6.10001883550783,44.45,0.67,32.3,64.0722222222222,0,35.92,1801.1,1866.6,1835,1834.5,NA,NA,6.59999999999991,1,0.151515151515154,"1800",6.46728123451994,13.8422216953742,215.797489027362,2.826733,0.0293962938757244,5.01346225980656,0.101515151515153
"Middle",34,0.19884078444547,6.32,3.29113385229856,-14.09,3.21938315364352,-14.565,0.007792325,0.016270969,0.008478645,209.628933066667,7.00619457217524,46.04,0.67,29.6,64.7155555555556,0,35.2788888888889,1787.2,1853.2,1821.2,1821,NA,NA,6.79999999999995,1,0.147058823529413,"1800",12.2205865210283,16.5516036434725,430.59479568643,1.6270969,0.0319735981388315,4.88752527074159,0.0985294117647065
"Middle",36,0.126323835286221,6.72,4.32404576928433,-6.3,4.34458350955637,-6.19,0.007806183,0.014419733,0.00661355,123.046844,4.07634946238213,43.71,0.68,37.9,64.074,0.218666666666667,35.702,1775.2,1840.6,1807.9,1807.6,NA,NA,6.70000000000005,1,0.149253731343283,"1800",8.76048365709831,34.2298487018465,282.692436980777,1.4419733,0.0206160499187113,5.24412594328373,0.101492537313432
"Middle",38,0.198455868033904,5.535,2.95026333614267,-15.455,2.9812363523879,-15.935,0.007295382,0.017251717,0.009956335,195.6078632,6.31252070989154,43.58,0.74,29.2,64.9455555555556,0,35.0588888888889,1762.9,1827,1794.3,1794.2,TRUE,NA,6.70000000000005,1,0.149253731343283,"1800",11.5035429826437,14.8660927256565,365.906808573984,1.7251717,0.0352457621628214,4.86789646399265,0.110447761194029
"Middle",40,0.147667619326251,4.78,2.0905800838166,-18.43,2.02598398126417,-19.12,0.006797092,0.011404553,0.004607461,148.3122864,3.8577734924622,42.11,0.79,34.4,64.0777777777778,0,35.9277777777778,1750.7,1814.3,1780.1,1780.9,NA,NA,6.59999999999991,1,0.151515151515154,"1800",12.9481286400485,14.1573358692657,338.266084822632,1.1404553,0.0279977806242572,5.10433665981474,0.119696969696971
"Middle",42,0.158920733811938,4.31,2.0750728297757,-18.97,2.06729041430212,-19.195,0.004028006,0.010386442,0.006358436,160.257191733333,5.10084589612399,36.47,0.95,28.9,70.2775,0,29.7208333333333,1739.8,1798.6,1766.8,1767.6,NA,NA,6.80000000000018,1,0.147058823529408,"1800",15.3007867190649,13.0572819543564,491.106184016046,1.0386442,0.0362339273091218,4.85299758761332,0.139705882352937
"Middle",44,0.197305079614512,4.215,2.4149432366269,-19.195,2.37602133630783,-19.205,0.00685414,0.016741645,0.009887505,207.660111466667,6.84244609919175,44.67,0.72,46.9,60.155,0,39.8391666666667,1728.5,1784.9,1753,1754.1,NA,NA,6.80000000000018,1,0.147058823529408,"1800",11.7852863093509,12.2396404661508,408.708110773568,1.6741645,0.0340943177573877,5.55151601762801,0.105882352941174
"Middle",46,0.194692939495956,4.265,2.5520004301158,-20.175,2.38482560405818,-19.985,0.005552979,0.012088794,0.006535815,138.7241192,4.40965569263035,42.63,0.77,22.6,70.8088888888889,0,29.1777777777778,1718.3,1769.5,1739.6,1740.8,NA,NA,6.60000000000014,1,0.151515151515148,"1700",16.1052408946629,13.1078221774386,364.772176002863,1.2088794,0.0359792552188526,4.49825086752783,0.116666666666664
"Middle",48,0.0873794965779354,2.75,1.4209612928148,-20.605,1.46445079447323,-21.035,0.002452631,0.004377091,0.001924461,62.3049626666667,2.00875302284835,28.8,1.21,196.9,39.2066666666667,0.242222222222222,60.5566666666667,1709.4,1755.9,1726.4,1728,NA,NA,6.40000000000009,1,0.156249999999998,"1700",19.96291522793,16.2619533009945,458.924208532186,0.4377091,0.0253750058062324,7.62131930101419,0.189062499999997
"Middle",50,0.0708702198694255,1.26,1.60731356716468,-22.72,1.83011083218113,-22.56,4.9048e-06,-0.000484809,-0.000489713,12.5306853333333,0.411979465702238,18.8,1.23,242.1,32.0711111111111,0.231111111111111,67.7088888888889,1700.4,1743.6,1712.2,1715,NA,NA,6.59999999999991,1,0.151515151515154,"1700",-146.181733155584,22.6796751883382,NA,-0.0484809,0.0209208889054544,7.91945926911157,0.186363636363639
"Middle",52,0.04455129891714,-0.27,1.17746606042616,-22.915,1.27758598891019,-22.83,0.004834339,0.007953108,0.003118769,14.1596544,0.4554751270946,21.15,NA,74,60.1375,0.166666666666667,39.6841666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.60174700471062,26.429444012757,57.2700794575655,0.7953108,NA,6.20945336562895,NA
"North",2,0.523082655002773,7.875,5.52630937546862,-21.16,5.49947789766794,-21.2,0.003454387,0.019685674,0.016231287,260.63503064,8.60835058427189,65.53,0.25,60.3,53.7716666666667,0,46.2266666666667,2009.6,2014.4,2012.5,2012.3,NA,NA,4.20000000000005,1,0.238095238095236,"2000",26.571742222429,10.5648874467828,437.29011179764,1.9685674,0.0313849593001664,5.91408609701272,0.0595238095238089
"North",3,0.452059540115076,7.955,5.03036834573921,-21.005,4.97641509433962,-21.04,0.009078757,0.02187651,0.012797754,273.986772114286,8.87377919987405,64.93,0.26,55,57.4466666666667,0.0222222222222222,42.5322222222222,2001.9,2009.1,2006.1,2005.9,NA,NA,6.39999999999986,1,0.156250000000003,"2000",20.6641525597582,11.1276677060254,405.63047761613,2.187651,0.0282085153031808,5.78135971352466,0.0406250000000009
"North",6,0.393132357646145,8.055,9.0977306337262,-20.83,4.5881178232651,-20.89,0.010383373,0.022182427,0.011799054,282.938749333333,9.3646255260415,60.56,0.39,66.6,50.73,0,49.2766666666667,1981.3,1994.4,1988.5,1988.4,NA,NA,4.59999999999991,1,0.21739130434783,"2000",17.7226936279851,23.1416479889833,422.164153906221,2.2182427,0.0367971886756792,6.0574502721839,0.0847826086956538
"North",10,0.359027630076976,8.08,6.42841506425521,-20.705,4.32821580362564,-20.54,0.012614716,0.027088099,0.014473383,239.707384266667,8.07773595874303,58.32,0.41,68.4,49.4877777777778,0.114444444444444,50.3944444444444,1964.2,1973.8,1968.6,1968.6,NA,TRUE,5.10000000000014,1,0.196078431372544,"2000",13.25407257545,17.9050706010481,298.202393558257,2.7088099,0.0353283187995744,6.09592441999854,0.0803921568627429
"North",14,0.304696902380991,8.2825,3.83196279350604,-20.8025,3.84185186986335,-20.86,0.011591469,0.02671033,0.01511886,210.284005333333,6.89422753272817,54.95,0.48,40.5,63.4755555555556,0,36.5222222222222,1930,1954.2,1944.1,1943.6,NA,NA,6.5,1,0.153846153846154,"1900",11.4074555567449,12.5763103056249,258.110908129108,2.671033,0.0351010831542901,5.33985000288462,0.0738461538461539
