GISJOIN,YEAR,STATE,STATEFP,STATENH,NAME,BL1AA,BL1AB,BL1AC,BL1AD,BL1AE,BL1AF,BL1AG,BL1AH,BL1AI,BL1AJ,BL1AK,BL1AL,BL1AAM,BL1ABM,BL1ACM,BL1ADM,BL1AEM,BL1AFM,BL1AGM,BL1AHM,BL1AIM,BL1AJM,BL1AKM,BL1ALM
"G210","2000","Kentucky","21","210","Kentucky",401465,952121,929049,23072,39797,157791,328570,949744,915579,34165,191833,195846,,,,,,,,,,,,
"G220","2000","Louisiana","22","220","Louisiana",514633,935131,898358,36773,46823,151546,477983,929466,876133,53333,208297,202501,,,,,,,,,,,,
"G230","2000","Maine","23","230","Maine",132473,295841,290448,5393,13992,51911,113391,296170,289008,7162,59020,66025,,,,,,,,,,,,
"G240","2000","Maryland","24","240","Maryland",610852,1165779,1110118,55661,50082,146208,585050,1161020,1087740,73280,220370,220275,,,,,,,,,,,,
"G250","2000","Massachusetts","25","250","Massachusetts",817954,1360113,1320391,39722,65751,168531,763498,1372369,1311252,61117,288734,254419,,,,,,,,,,,,
"G260","2000","Michigan","26","260","Michigan",1159693,2157062,2109535,47527,95922,349204,1003167,2143028,2078977,64051,417088,450439,,,,,,,,,,,,
"G270","2000","Minnesota","27","270","Minnesota",591866,1107267,1089778,17489,40147,150656,491503,1105696,1082898,22798,184628,185992,,,,,,,,,,,,
"G280","2000","Mississippi","28","280","Mississippi",319922,597255,571622,25633,30189,98886,290211,599286,561932,37354,144954,122912,,,,,,,,,,,,
"G290","2000","Missouri","29","290","Missouri",587463,1260074,1225992,34082,55871,210872,508457,1267524,1221832,45692,259661,264469,,,,,,,,,,,,
"G300","2000","Montana","30","300","Montana",97897,210475,206335,4140,9187,36242,73818,208916,204044,4872,37543,41837,,,,,,,,,,,,
"G310","2000","Nebraska","31","310","Nebraska",191428,393268,386890,6378,15612,54251,154674,391875,383219,8656,74341,66973,,,,,,,,,,,,
"G320","2000","Nevada","32","320","Nevada",228389,442108,426135,15973,19422,102398,160855,430140,409666,20474,66569,113699,,,,,,,,,,,,
"G330","2000","New Hampshire","33","330","New Hampshire",131904,287223,281448,5775,11391,45891,111936,287092,279547,7545,46372,56832,,,,,,,,,,,,
"G340","2000","New Jersey","34","340","New Jersey",989404,1898076,1833508,64568,90666,198267,878964,1897262,1802537,94725,400113,302581,,,,,,,,,,,,
"G350","2000","New Mexico","35","350","New Mexico",206852,383471,372843,10628,17435,70209,177806,382933,368582,14351,67410,92380,,,,,,,,,,,,
"G360","2000","New York","36","360","New York",2474148,3988587,3798834,189753,197110,463870,2303748,4031894,3737007,294887,887299,709220,,,,,,,,,,,,
"G370","2000","North Carolina","37","370","North Carolina",870801,1898304,1815945,82359,73559,249716,724668,1890917,1780893,110024,358740,327002,,,,,,,,,,,,
"G380","2000","North Dakota","38","380","North Dakota",81329,147614,146020,1594,6356,18601,59971,146829,144813,2016,30346,21235,,,,,,,,,,,,
"G390","2000","Ohio","39","390","Ohio",1249694,2500038,2440376,59662,116736,415268,1099007,2515085,2435145,79940,520456,536437,,,,,,,,,,,,
"G400","2000","Oklahoma","40","400","Oklahoma",339762,805261,784598,20663,33582,140124,267670,800238,773618,26620,155587,175328,,,,,,,,,,,,
"G410","2000","Oregon","41","410","Oregon",380756,782584,762675,19909,31919,141546,302900,773598,746626,26972,133396,175435,,,,,,,,,,,,
"G420","2000","Pennsylvania","42","420","Pennsylvania",1410754,2780463,2689136,91327,152522,342538,1274574,2787680,2663161,124519,656381,456801,,,,,,,,,,,,
"G440","2000","Rhode Island","44","440","Rhode Island",128908,223608,217622,5986,12059,31821,120648,225968,215932,10036,51061,47430,,,,,,,,,,,,
"G450","2000","South Carolina","45","450","South Carolina",436108,912144,869205,42939,41367,126506,387536,911300,848986,62314,190426,163531,,,,,,,,,,,,
"G460","2000","South Dakota","46","460","South Dakota",86466,171700,168841,2859,7040,24652,67567,170962,167661,3301,34104,27121,,,,,,,,,,,,
"G470","2000","Tennessee","47","470","Tennessee",576228,1314612,1277457,37155,53568,224919,485987,1317202,1262518,54684,263844,286270,,,,,,,,,,,,
"G480","2000","Texas","48","480","Texas",2238831,4753973,4595978,157995,163660,663784,1837866,4645311,4410349,234962,738953,895265,,,,,,,,,,,,
"G490","2000","Utah","49","490","Utah",248880,492816,484153,8663,12788,59209,208135,490552,479188,11364,54247,73061,,,,,,,,,,,,
"G500","2000","Vermont","50","500","Vermont",70285,137889,135135,2754,5710,22633,60125,137576,134169,3407,25126,28937,,,,,,,,,,,,
"G510","2000","Virginia","51","510","Virginia",791513,1655254,1584272,70982,63466,214101,681550,1640491,1547987,92504,286985,290268,,,,,,,,,,,,
"G530","2000","Washington","53","530","Washington",681343,1326205,1293763,32442,47997,231886,537267,1315538,1273194,42344,201464,297822,,,,,,,,,,,,
"G540","2000","West Virginia","54","540","West Virginia",180631,435306,425832,9474,22847,71659,146644,432801,420568,12233,106709,82704,,,,,,,,,,,,
"G550","2000","Wisconsin","55","550","Wisconsin",626770,1222305,1200499,21806,49567,173755,526427,1211215,1183066,28149,220044,209478,,,,,,,,,,,,
"G560","2000","Wyoming","56","560","Wyoming",51999,116985,114942,2043,4419,22009,39099,114903,112280,2623,17959,23472,,,,,,,,,,,,
"G010","2008-2012","Alabama","01","010","Alabama",584355,996641,957174,39467,52899,207461,517693,998377,937087,61290,222434,264531,4261,5777,6516,1675,1533,3259,3948,6171,7072,1849,2411,3599
"G020","2008-2012","Alaska","02","020","Alaska",105333,147477,142001,5476,4942,32300,74461,141225,134889,6336,15313,35153,1532,1879,2034,472,420,1107,1220,1604,1811,690,733,1053
"G040","2008-2012","Arizona","04","040","Arizona",876661,1293932,1255797,38135,62655,263025,711047,1284144,1229220,54924,215460,349637,5440,7147,8697,1663,1404,3759,4914,6929,8222,2080,2495,4412
"G050","2008-2012","Arkansas","05","050","Arkansas",330745,630722,607327,23395,33244,134161,276122,626429,592798,33631,131026,163113,3312,4144,5176,1197,1080,2403,2735,3968,4918,1497,1813,2793
"G060","2008-2012","California","06","060","California",5778554,7400001,7123855,276146,311362,1172808,4819717,7320705,6913168,407537,1221077,1675860,18439,23353,31032,4522,3405,8964,15854,20699,26811,5248,6202,8922
"G080","2008-2012","Colorado","08","080","Colorado",678866,1085744,1056312,29432,39844,202530,536381,1070010,1032289,37721,142090,267065,4145,5340,6786,1269,1310,2821,3706,5398,6462,1404,2080,3249
"G090","2008-2012","Connecticut","09","090","Connecticut",496941,743480,727287,16193,37342,123406,445060,741509,714797,26712,143113,180570,3768,4932,5200,1042,1049,2664,3547,4893,5595,1426,1971,2861
"G100","2008-2012","Delaware","10","100","Delaware",122851,183413,177110,6303,10777,32877,114613,182717,174645,8072,35736,47658,1650,1806,2110,582,654,1302,1458,1922,2058,666,982,1204
"G110","2008-2012","District Of Columbia","11","110","District of Columbia",142162,74485,68564,5921,5158,20627,153854,72854,65572,7282,21324,28321,1558,1443,1500,622,460,997,1618,1520,1584,632,759,986
"G120","2008-2012","Florida","12","120","Florida",2553294,3920201,3761508,158693,234664,845207,2126037,3899562,3668789,230773,875645,1143122,14356,19733,23721,3436,3503,8367,12057,17396,21904,4274,6068,8251
"G130","2008-2012","Georgia","13","130","Georgia",1299191,1947653,1871572,76081,84906,360018,1173001,1938391,1823695,114696,343410,499937,7312,9723,11670,2228,2010,4764,6877,9244,11612,2645,3037,5278
"G150","2008-2012","Hawaii","15","150","Hawaii",205985,287908,280477,7431,12688,47417,157891,286248,277371,8877,55040,57637,2060,2395,3096,723,794,1500,1901,2370,2817,679,1175,1618
"G160","2008-2012","Idaho","16","160","Idaho",172169,352255,345253,7002,13423,65532,133860,348686,338645,10041,47588,77801,2427,3105,3377,575,861,1983,1994,2933,3166,643,1094,2146
"G170","2008-2012","Illinois","17","170","Illinois",1838840,2592885,2521991,70894,125422,425773,1631880,2570814,2464199,106615,496895,577453,9371,11563,13137,1534,1672,4992,6665,8953,10563,2961,3246,5473
"G180","2008-2012","Indiana","18","180","Indiana",814989,1352908,1322289,30619,62910,282857,701604,1345869,1299668,46201,250382,348161,5228,7332,7968,1266,1333,3649,4417,5850,7034,1596,2436,3938
"G190","2008-2012","Iowa","19","190","Iowa",375129,676833,664534,12299,30955,117307,308068,671204,653964,17240,126515,140942,2818,4048,4388,718,935,2234,2487,3096,3406,863,1556,2185
"G200","2008-2012","Kansas","20","200","Kansas",345753,617211,603597,13614,28057,115694,279202,611184,592666,18518,106707,144474,3010,3838,4607,908,743,2718,2515,3534,3999,1016,1314,2408
"G210","2008-2012","Kentucky","21","210","Kentucky",518929,931959,899720,32239,47734,200985,428239,930115,885217,44898,189388,244567,4039,5700,6286,1175,1313,2774,3701,5546,6160,1545,2078,3693
"G220","2008-2012","Louisiana","22","220","Louisiana",633702,875476,835711,39765,49203,184063,567042,861457,801539,59918,192293,239975,4170,5759,6483,1718,1378,3071,3788,5362,5702,1923,2202,3655
"G230","2008-2012","Maine","23","230","Maine",163254,291448,286367,5081,15604,65949,138376,292581,284894,7687,56791,82976,1650,2460,2537,491,745,1735,1599,2417,2588,603,1176,1633
"G240","2008-2012","Maryland","24","240","Maryland",814952,1179901,1129841,50060,56219,182308,780477,1173659,1103904,69755,217920,270428,4997,6373,7634,1686,1478,3517,4423,6055,7112,1797,2002,3598
"G250","2008-2012","Massachusetts","25","250","Massachusetts",981462,1331705,1290051,41654,68639,202033,922804,1330958,1267960,62998,259529,306475,5728,7130,8217,1682,1765,3294,4802,6070,7083,1707,2463,4118
"G260","2008-2012","Michigan","26","260","Michigan",1352844,2026121,1978512,47609,103989,397934,1183821,2025350,1957771,67579,395574,506384,6714,9187,10570,1434,1710,4677,6218,7816,8919,1624,2986,4464
"G270","2008-2012","Minnesota","27","270","Minnesota",716441,1153804,1133637,20167,44169,181609,599607,1147736,1121498,26238,179765,229498,4620,6395,6837,986,918,2921,4318,5216,5950,1140,1968,3157
"G280","2008-2012","Mississippi","28","280","Mississippi",388559,576107,546636,29471,31952,124041,366257,571094,528222,42872,135057,150528,3394,4311,5164,1447,1115,2736,3227,4213,4643,1441,1915,2358
"G290","2008-2012","Missouri","29","290","Missouri",746114,1268094,1228961,39133,62660,253975,649141,1267652,1212793,54859,248021,315373,4600,6678,7397,1628,1717,3829,4067,5536,6571,1690,2127,3846
"G300","2008-2012","Montana","30","300","Montana",125527,220291,215263,5028,10149,46859,94639,219305,213768,5537,39048,51004,1594,2025,2234,539,578,1405,1386,1787,2011,552,917,1253
"G310","2008-2012","Nebraska","31","310","Nebraska",228369,398122,389706,8416,17823,66503,187001,394766,384231,10535,69415,82617,2073,3011,3392,563,666,1556,1872,2891,3234,753,1108,1769
"G320","2008-2012","Nevada","32","320","Nevada",378179,540373,518721,21652,25760,138080,291457,532660,503505,29155,83672,161316,3395,3952,4693,1125,1060,2624,3056,4301,4700,1202,1510,2869
"G330","2008-2012","New Hampshire","33","330","New Hampshire",164324,298244,292678,5566,12883,56171,140878,295231,287945,7286,47763,70898,1827,2136,2396,516,740,1649,1675,2221,2422,623,1137,1714
"G340","2008-2012","New Jersey","34","340","New Jersey",1245995,1852432,1797472,54960,90482,232246,1113571,1840865,1756235,84630,368977,362759,6096,7058,8879,1452,1743,3105,6379,7051,8718,1880,2629,4222
"G350","2008-2012","New Mexico","35","350","New Mexico",283209,401251,389554,11697,21919,91215,243033,396631,377351,19280,72495,117436,2715,3443,3809,850,963,2348,2450,3341,3638,1025,1465,2548
"G360","2008-2012","New York","36","360","New York",3043589,3809805,3645361,164444,195908,538222,2849694,3819879,3551881,267998,798359,813215,10677,13096,16046,3014,3041,5387,9491,11879,14345,3742,4358,5800
"G370","2008-2012","North Carolina","37","370","North Carolina",1208323,2045088,1942232,102856,91280,336923,1068548,2048518,1910791,137727,390086,460924,8419,10454,12531,2594,2144,4517,6264,8835,10339,3036,3358,5392
"G380","2008-2012","North Dakota","38","380","North Dakota",97347,149645,147535,2110,6486,24792,71551,147490,145170,2320,28274,26015,1180,1445,1663,317,359,959,1116,1444,1604,307,810,944
"G390","2008-2012","Ohio","39","390","Ohio",1496295,2384087,2313009,71078,127874,481475,1325523,2375554,2277464,98090,487093,622212,7784,11328,13252,2076,2080,5760,6570,9924,11345,2320,3447,6194
"G400","2008-2012","Oklahoma","40","400","Oklahoma",439212,803578,777354,26224,42587,174212,351771,797949,761348,36601,154209,211531,3041,4347,5091,1180,1008,2740,2584,4180,5289,1450,1738,2975
"G410","2008-2012","Oregon","41","410","Oregon",500516,820863,796238,24625,37916,174119,412733,815315,783927,31388,135327,225029,3835,5258,5944,1418,1197,2991,3278,4401,4844,1397,1867,2999
"G420","2008-2012","Pennsylvania","42","420","Pennsylvania",1779777,2677356,2579093,98263,156340,416773,1594680,2662602,2531296,131306,601493,541967,8765,10689,12533,2081,1874,4058,6984,9610,11512,2688,3998,5193
"G440","2008-2012","Rhode Island","44","440","Rhode Island",160069,205611,198979,6632,11203,38632,144981,206344,196128,10216,47521,56799,1889,2237,2588,628,644,1306,1724,2502,2549,805,964,1473
"G450","2008-2012","South Carolina","45","450","South Carolina",614331,967654,915281,52373,50503,164400,554295,965508,892625,72883,204664,214629,4294,5797,6825,1888,1526,3240,4096,5603,6559,1969,2212,2863
"G460","2008-2012","South Dakota","46","460","South Dakota",105391,175707,171802,3905,8443,33158,83951,173730,169589,4141,32662,35067,1424,1737,1954,477,474,1187,1519,1793,1846,376,732,1028
"G470","2008-2012","Tennessee","47","470","Tennessee",764090,1353293,1304166,49127,65347,281748,668047,1351148,1282790,68358,270954,360511,5877,7829,9048,1906,1477,3779,4638,6588,7994,2336,2627,4440
"G480","2008-2012","Texas","48","480","Texas",3274803,5207534,4998673,208861,210780,892529,2727945,5151979,4830266,321713,812793,1203958,14457,19333,24242,4195,2929,8506,10561,15786,19040,4250,5615,9318
"G490","2008-2012","Utah","49","490","Utah",318557,594914,582702,12212,16538,81272,263954,591178,573443,17735,59279,103258,2756,3786,4223,942,801,1742,2405,3601,4162,1089,1166,2097
"G500","2008-2012","Vermont","50","500","Vermont",85148,135992,133217,2775,5872,27895,72750,136302,132496,3806,23396,34589,1222,1550,1725,306,379,920,1144,1533,1584,408,577,1116
"G510","2008-2012","Virginia","51","510","Virginia",1073162,1740830,1669687,71143,73136,265156,933141,1735317,1640109,95208,290621,372281,6818,8968,10403,2308,1726,3844,5493,7694,9297,2474,2945,4181
"G530","2008-2012","Washington","53","530","Washington",899516,1449416,1409847,39569,55919,287466,720546,1440432,1387375,53057,214133,367506,5756,7723,8590,1363,1427,4216,4897,7031,8100,1833,2399,4399
"G540","2008-2012","West Virginia","54","540","West Virginia",224789,407285,396045,11240,25253,90666,176851,406055,391104,14951,99313,101057,2738,3652,3933,696,1012,2296,1874,3079,3473,838,1705,2002
"G550","2008-2012","Wisconsin","55","550","Wisconsin",760229,1227384,1204918,22466,55210,217810,641401,1216977,1187699,29278,212267,257373,4890,6267,7133,1036,1152,3036,4259,5287,5912,1069,1985,3100
"G560","2008-2012","Wyoming","56","560","Wyoming",68262,128157,125311,2846,5307,26961,48659,124881,121220,3661,18740,29124,1273,1701,1890,422,384,1060,1211,1777,2054,559,643,1214
"G720","2008-2012","Puerto Rico","72","720","Puerto Rico",591513,616103,577028,39075,41040,158352,543011,631290,575178,56112,169307,236805,3405,3518,3978,1691,1318,2768,3122,4174,4133,1432,1944,3298
"G010","2015-2019","Alabama","01","010","Alabama",640190,983243,947981,35262,58975,215746,583063,997929,943874,54055,219058,273339,4653,5699,6314,1641,1690,3390,3698,5735,6142,1734,2736,3241
"G020","2015-2019","Alaska","02","020","Alaska",117681,149818,144976,4842,6269,31388,80750,143523,138220,5303,16449,35874,1610,1911,2100,577,534,1232,1372,1670,2076,548,691,1111
"G040","2015-2019","Arizona","04","040","Arizona",1038051,1393947,1354803,39144,75307,305381,859575,1384967,1328481,56486,240582,396219,5944,7804,8268,1523,1833,3558,5283,6324,7637,2015,3071,4143
"G050","2015-2019","Arkansas","05","050","Arkansas",364927,628320,605286,23034,38111,141704,309941,625303,593447,31856,131332,175418,3411,4418,5121,1283,1134,2662,2971,4405,4960,1517,1866,3203
"G060","2015-2019","California","06","060","California",6343459,7816684,7559757,256927,334237,1200982,5389443,7715955,7338340,377615,1241238,1746282,22441,27451,31793,3739,3638,9397,17597,21944,27414,4909,5983,8613
"G080","2015-2019","Colorado","08","080","Colorado",812786,1185617,1158742,26875,49680,239013,644220,1177872,1141760,36112,150558,302365,5609,6648,7351,1324,1357,3693,4193,5502,6333,1379,2363,3915
"G090","2015-2019","Connecticut","09","090","Connecticut",542506,728572,713263,15309,37357,127380,489471,722683,701129,21554,133878,190094,3998,5110,5699,968,1120,2913,3318,4569,4973,1203,1792,3058
"G100","2015-2019","Delaware","10","100","Delaware",135746,196087,191076,5011,10652,35114,126902,194405,187047,7358,37415,52117,1699,2183,2550,512,603,1259,1454,2377,2754,670,1140,1556
"G110","2015-2019","District Of Columbia","11","110","District of Columbia",157830,92123,86588,5535,4625,19349,171596,89051,82504,6547,19319,30544,1933,2004,1885,540,471,1052,1913,1839,1829,650,821,1058
"G120","2015-2019","Florida","12","120","Florida",2961228,4264983,4103563,161420,269914,957827,2545734,4201241,3977823,223418,928392,1313955,14714,19383,23885,3672,3712,8957,12965,17663,21963,3951,6371,9110
"G130","2015-2019","Georgia","13","130","Georgia",1479153,2039425,1966425,73000,98045,389323,1372300,2043140,1933277,109863,359793,551133,9321,11756,12894,2357,2517,5582,7160,9330,11533,2974,3567,5756
"G150","2015-2019","Hawaii","15","150","Hawaii",219254,299485,292786,6699,14758,47341,170264,295378,287205,8173,58143,60162,2362,2764,2913,588,707,1513,2073,2888,3068,581,1289,1580
"G160","2015-2019","Idaho","16","160","Idaho",205309,375728,368769,6959,16693,76155,164110,374163,365674,8489,50645,89148,2381,3192,3482,688,885,2075,2520,3064,3493,695,1392,2088
"G170","2015-2019","Illinois","17","170","Illinois",1927479,2563615,2494906,68709,134491,428672,1731654,2546325,2452165,94160,472086,580548,9184,12152,13212,1968,1905,4901,7991,9932,11202,2280,4156,5122
"G180","2015-2019","Indiana","18","180","Indiana",906811,1342596,1311798,30798,73486,296817,782548,1346607,1306072,40535,247773,369384,6558,8341,9210,1362,1395,3330,5196,7354,8362,1428,3065,4511
"G190","2015-2019","Iowa","19","190","Iowa",414019,676109,663578,12531,34638,124608,339611,674556,657723,16833,120528,149345,3527,4548,4966,912,1013,2099,3276,4374,4848,976,1718,2356
"G200","2015-2019","Kansas","20","200","Kansas",378764,619986,607325,12661,31834,117362,304855,618133,600556,17577,105397,142491,3149,4369,4791,772,1035,2353,2704,3767,4216,1010,1592,2200
"G210","2015-2019","Kentucky","21","210","Kentucky",565625,928455,896773,31682,55196,212172,474129,930862,887278,43584,184553,260650,4440,6432,6817,1224,1508,3125,4145,5987,6603,1467,2559,3689
"G220","2015-2019","Louisiana","22","220","Louisiana",703247,858467,820525,37942,56224,191508,639503,856836,804588,52248,189802,247978,4973,5741,6595,1430,1724,3131,4145,5448,5904,1683,2281,3522
"G230","2015-2019","Maine","23","230","Maine",171266,290235,285331,4904,16410,69907,146096,292873,286492,6381,55700,86739,2038,2791,3039,574,781,1580,1661,2561,2927,600,1064,1745
"G240","2015-2019","Maryland","24","240","Maryland",881213,1213641,1170525,43116,57191,197478,838930,1204014,1147192,56822,218571,294877,4884,6383,7344,1821,1466,3331,4896,6176,6702,1839,2423,3270
"G250","2015-2019","Massachusetts","25","250","Massachusetts",1087574,1376497,1340593,35904,67232,219726,1021796,1385529,1327788,57741,247951,321686,6471,7676,8544,1357,1864,3493,5147,7316,8325,1982,2856,3987
"G260","2015-2019","Michigan","26","260","Michigan",1451551,2009118,1966455,42663,113116,417842,1268942,2013968,1958704,55264,378623,526612,7359,10235,11141,1408,1927,4739,5832,8662,9912,1584,2758,4646
"G270","2015-2019","Minnesota","27","270","Minnesota",777640,1186702,1167352,19350,50554,203448,651529,1187522,1162960,24562,173791,251983,5173,6554,7045,980,1350,2994,3807,5415,6062,1109,1742,2745
"G280","2015-2019","Mississippi","28","280","Mississippi",421911,564402,535440,28962,36826,123500,393951,565779,527523,38256,132941,154856,3742,4844,5103,1443,1429,2677,3250,4384,4884,1734,2052,3101
"G290","2015-2019","Missouri","29","290","Missouri",805624,1264218,1225727,38491,71197,268984,698678,1271118,1220963,50155,245739,334790,5346,7108,7928,1645,1933,3685,4093,6359,6753,1914,2827,4429
"G300","2015-2019","Montana","30","300","Montana",140944,227391,222905,4486,12299,50095,106504,228494,223108,5386,37834,56899,1655,2188,2316,515,776,1354,1602,2441,2544,526,1020,1508
"G310","2015-2019","Nebraska","31","310","Nebraska",250792,410996,403664,7332,19516,70013,207037,407481,397454,10027,66367,85595,2310,3221,3711,560,844,1589,2149,2761,2991,757,1125,1633
"G320","2015-2019","Nevada","32","320","Nevada",442597,576161,554132,22029,31300,151626,350879,571793,542348,29445,96931,183643,3482,4216,4558,1274,1051,2659,3186,4688,4930,1475,1818,2868
"G330","2015-2019","New Hampshire","33","330","New Hampshire",183821,302058,295709,6349,14572,59565,152627,300623,293518,7105,48430,75658,2121,2525,2897,646,755,1495,1831,2573,2826,648,1246,1656
"G340","2015-2019","New Jersey","34","340","New Jersey",1298562,1881962,1828371,53591,90132,239916,1177365,1851141,1772577,78564,344615,378866,6955,8373,9986,1774,1734,3582,6134,7492,8263,2265,3694,4094
"G350","2015-2019","New Mexico","35","350","New Mexico",316709,389269,376511,12758,24912,98528,269580,385436,368747,16689,77436,125567,2794,3598,4128,791,1046,2241,2723,3529,4015,957,1696,2360
"G360","2015-2019","New York","36","360","New York",3150915,3843146,3695299,147847,201665,563474,2986727,3816140,3581208,234932,750415,853831,13396,15340,18373,2981,2699,4857,10551,12328,15571,4390,4394,6588
"G370","2015-2019","North Carolina","37","370","North Carolina",1391883,2148344,2053456,94888,110757,375351,1263446,2143819,2018759,125060,402275,530250,8213,11025,13130,3039,1814,4138,6789,9253,11428,2692,3912,5355
"G380","2015-2019","North Dakota","38","380","North Dakota",112470,162630,160210,2420,7402,28142,79736,159987,157546,2441,26742,29700,1659,1906,2121,403,476,1111,1493,1933,2005,290,710,1072
"G390","2015-2019","Ohio","39","390","Ohio",1637855,2333513,2264882,68631,139420,502910,1439882,2348385,2259581,88804,465290,641043,9222,12582,14049,2029,2087,5556,7270,10203,12088,2086,3276,6093
"G400","2015-2019","Oklahoma","40","400","Oklahoma",502716,804650,777145,27505,48890,184727,406177,802559,766961,35598,156885,227394,3131,4402,4636,903,1250,2374,2885,4247,4581,1190,1638,2807
"G410","2015-2019","Oregon","41","410","Oregon",579932,867296,845840,21456,41377,189686,477969,870232,840075,30157,136279,247112,4352,5244,5874,1104,1349,2879,3596,5236,5552,1282,2348,3350
"G420","2015-2019","Pennsylvania","42","420","Pennsylvania",1880647,2659931,2569353,90578,156868,446781,1666121,2656945,2534201,122744,553492,578942,9060,11322,12575,2128,2224,4738,8266,9485,11420,2572,3334,4648
"G440","2015-2019","Rhode Island","44","440","Rhode Island",170048,205277,200388,4889,10731,40670,158166,202538,194514,8024,42496,57423,1951,2408,2504,548,656,1533,1892,2499,2533,808,1208,1664
"G450","2015-2019","South Carolina","45","450","South Carolina",696035,1023236,976268,46968,60513,189758,639717,1032687,965511,67176,214159,250695,5257,6625,7276,1739,1561,3609,5311,6342,6912,2104,2709,3689
"G460","2015-2019","South Dakota","46","460","South Dakota",118214,183745,180390,3355,9342,35469,93376,181129,177065,4064,31441,37604,1483,1946,2006,375,575,1243,1558,1959,2097,382,1014,1158
"G470","2015-2019","Tennessee","47","470","Tennessee",872415,1393529,1344481,49048,77647,292078,774812,1404260,1339905,64355,269117,378247,5791,8373,9429,1429,1851,4262,5138,7790,9008,2108,3229,4681
"G480","2015-2019","Texas","48","480","Texas",3952196,5714503,5505636,208867,250858,997319,3376556,5641439,5326436,315003,871104,1342479,16107,21522,25924,3720,3374,10069,12717,18116,22073,5355,5577,8635
"G490","2015-2019","Utah","49","490","Utah",384739,666153,652187,13966,19613,91153,316694,661363,643095,18268,65326,118630,3467,4107,4709,1006,931,2186,3560,4396,5059,1185,1386,2499
"G500","2015-2019","Vermont","50","500","Vermont",90440,131695,128919,2776,7395,29535,76947,132609,129851,2758,23202,37366,1138,1344,1454,289,472,1044,1025,1474,1490,331,857,1134
"G510","2015-2019","Virginia","51","510","Virginia",1182422,1807909,1741649,66260,87152,289899,1040631,1787253,1696655,90598,300331,408878,8011,9631,11172,2051,1848,4611,5871,8759,10393,2634,3363,4258
"G530","2015-2019","Washington","53","530","Washington",1042361,1589132,1550442,38690,66240,302889,826429,1576481,1526113,50368,226096,401480,5962,7766,8910,1472,1691,3953,4765,7026,7937,1781,2685,3974
"G540","2015-2019","West Virginia","54","540","West Virginia",232652,387723,377839,9884,27654,94980,183487,389198,376469,12729,90314,106461,2757,3770,3863,595,1051,2304,2325,3653,3849,833,1610,2194
"G550","2015-2019","Wisconsin","55","550","Wisconsin",825525,1220476,1200865,19611,60734,232284,695245,1221166,1194848,26318,202944,275986,5484,7039,7495,795,1520,3043,3918,5178,5623,1106,2119,3260
"G560","2015-2019","Wyoming","56","560","Wyoming",72140,130146,127480,2666,6195,28859,53486,127123,123851,3272,18991,29609,1651,1909,1947,399,528,1174,1094,1820,1875,409,837,1278
"G720","2015-2019","Puerto Rico","72","720","Puerto Rico",580264,535345,505515,29830,43867,154495,549824,543793,502156,41637,165489,227032,3856,4300,4303,1292,1350,2680,3570,4701,4838,1507,2320,2994
